fund_return_category_rank_1year,fund_beta_3years,fund_stdev_3years,fund_return_category_rank_ytd,fund_beta_5years,fund_stdev_5years,fund_stdev_10years,fund_r_squared_3years,fund_return_category_rank_3months,fund_return_2020_q1,fund_category_enc,investment_type_Growth,investment_type_Unknown,investment_type_Value,size_type_Medium,size_type_Small,size_type_Unknown,morningstar_risk_rating
68.0,1.03,11.74,64.0,1.04,9.59,9.98,98.6,81.0,-0.12665,95,False,False,False,False,False,False,3
51.0,1.01,16.41,52.0,1.01,13.51,13.17,87.57,93.0,-0.16424,111,False,False,False,False,False,False,3
51.0,1.01,16.41,52.0,1.01,13.51,13.17,87.57,85.0,-0.16424,111,False,False,False,False,False,False,3
51.0,1.01,16.41,52.0,1.01,13.51,13.17,87.57,86.0,-0.16424,95,False,False,False,False,False,False,3
49.0,1.24,14.16,57.0,1.24,11.49,11.11,98.52,54.0,-0.15663,96,False,False,False,False,False,False,3
8.0,1.05,21.98,60.0,1.05,18.18,16.55,78.74,30.0,-0.09003,44,True,False,False,False,False,False,4
19.0,1.17,22.95,23.0,1.16,18.59,16.3,89.45,38.0,-0.3018,45,False,False,True,False,False,False,4
100.0,0.75,3.37,85.0,0.63,2.85,13.17,77.84,92.0,-0.02833,34,False,False,True,False,True,False,1
80.0,1.36,15.53,85.0,1.36,12.56,11.8,98.53,59.0,-0.17383,98,False,False,False,False,False,False,2
67.0,0.5,2.28,68.0,0.53,2.12,2.12,59.17,12.0,-0.00281,85,False,True,False,False,False,True,4
40.0,1.23,22.47,76.0,1.18,18.07,16.92,92.98,85.0,-0.29957,27,False,False,False,False,False,False,4
1.0,0.76,10.32,1.0,0.84,8.26,6.42,6.35,1.0,-0.14674,40,False,False,True,True,False,False,5
74.0,0.51,5.8,74.0,0.49,4.59,3.81,9.02,67.0,-0.07868,59,False,False,False,True,False,False,2
44.0,1.23,22.44,80.0,1.18,18.04,16.91,92.94,87.0,-0.29984,27,False,False,False,False,False,False,4
46.0,1.23,22.47,81.0,1.18,18.07,16.91,92.91,87.0,-0.30053,27,False,False,False,False,False,False,4
51.0,1.01,16.41,97.0,1.01,13.51,13.17,87.57,98.0,-0.16424,43,False,False,True,False,False,False,3
18.0,1.17,23.0,22.0,1.16,18.63,16.31,89.49,35.0,-0.30154,45,False,False,True,False,False,False,4
87.0,1.38,15.78,88.0,1.38,12.76,11.91,98.42,62.0,-0.17694,99,True,False,False,False,False,False,2
61.0,0.88,10.79,54.0,0.9,9.05,13.17,85.54,47.0,-0.11576,90,False,False,False,False,False,False,3
68.0,1.1,4.46,62.0,1.04,4.12,3.89,97.48,54.0,-0.01029,66,False,True,False,False,False,True,2
64.0,0.88,10.82,61.0,0.9,9.07,13.17,85.63,53.0,-0.11853,90,False,False,False,False,False,False,3
61.0,0.88,10.8,54.0,0.9,9.06,13.17,85.54,47.0,-0.11576,90,False,False,False,False,False,False,3
33.0,1.24,28.02,56.0,1.21,22.63,19.65,67.81,39.0,-0.1746,54,True,False,False,False,True,False,5
88.0,1.38,15.82,88.0,1.38,12.78,11.93,98.41,56.0,-0.17644,100,True,False,False,False,False,False,1
89.0,1.38,15.8,92.0,1.38,12.77,13.17,98.37,62.0,-0.17699,101,True,False,False,False,False,False,2
61.0,1.34,16.4,82.0,1.29,13.23,13.17,85.8,99.0,-0.16495,3,False,False,False,False,False,False,3
99.0,1.01,16.41,89.0,1.01,13.51,13.17,87.57,67.0,0.19231,111,True,False,False,False,False,False,3
19.0,1.2,23.44,49.0,1.17,18.9,17.28,89.68,21.0,-0.28378,53,False,False,False,True,False,False,4
12.0,1.24,25.22,45.0,1.22,20.75,18.59,82.98,23.0,-0.30128,86,False,False,False,False,True,False,3
92.0,1.02,24.76,84.0,1.02,20.15,18.73,58.81,28.0,-0.10178,87,True,False,False,False,True,False,3
53.0,1.43,29.38,78.0,1.39,24.04,20.57,81.35,84.0,-0.38405,88,False,False,True,False,True,False,4
55.0,1.43,29.39,80.0,1.39,24.04,20.57,81.43,84.0,-0.38478,88,False,False,True,False,True,False,4
84.0,0.32,1.31,74.0,0.31,1.17,1.04,76.44,79.0,0.01415,85,False,True,False,False,False,True,1
17.0,1.22,24.49,34.0,1.19,19.52,13.17,84.52,8.0,-0.3185,86,False,False,True,False,True,False,2
17.0,1.22,24.54,33.0,1.19,19.56,13.17,84.7,8.0,-0.31818,86,False,False,True,False,True,False,2
100.0,1.01,0.25,96.0,1.01,13.51,13.17,0.19,99.0,0.0023,67,False,True,False,False,False,True,1
23.0,1.1,21.33,18.0,1.1,17.51,15.76,91.01,20.0,-0.27903,45,False,False,True,False,False,False,4
44.0,1.59,31.64,69.0,1.5,26.35,13.17,81.89,68.0,-0.35601,19,False,False,True,False,False,False,1
66.0,0.97,18.76,48.0,1.01,13.51,13.17,91.93,34.0,-0.23241,53,False,False,False,True,False,False,1
3.0,1.06,4.42,3.0,0.98,4.0,3.59,91.53,2.0,-0.02736,73,False,False,True,True,False,False,5
9.0,1.06,4.43,12.0,0.99,4.01,3.6,91.7,5.0,-0.03008,73,False,False,True,True,False,False,5
3.0,1.06,4.42,2.0,0.98,4.0,3.59,91.54,2.0,-0.16424,73,False,False,True,True,False,False,5
90.0,0.86,16.64,61.0,0.88,14.36,13.17,83.46,65.0,-0.22127,14,False,False,True,False,False,False,1
83.0,0.93,10.73,38.0,0.93,8.73,8.52,96.81,41.0,-0.1163,2,False,False,False,False,False,False,2
49.0,1.32,27.08,43.0,1.28,22.06,19.27,80.92,39.0,-0.36615,88,False,False,True,False,True,False,3
80.0,0.9,17.14,81.0,0.9,14.05,13.17,93.54,14.0,-0.2103,45,False,False,False,False,False,False,2
12.0,1.28,15.19,11.0,1.26,12.3,10.55,92.51,84.0,-0.19798,2,False,False,True,False,False,False,4
93.0,0.86,16.6,67.0,0.88,14.36,13.17,83.44,70.0,-0.2218,14,False,False,True,False,False,False,1
78.0,0.89,17.13,80.0,0.9,14.04,13.17,93.55,13.0,-0.20978,45,False,False,False,False,False,False,2
77.0,0.89,17.12,78.0,0.9,14.03,13.17,93.57,13.0,0.07886,45,False,False,False,False,False,False,2
54.0,1.31,27.03,47.0,1.28,22.03,19.25,80.93,41.0,-0.36756,88,False,False,True,False,True,False,3
80.0,0.9,17.15,81.0,0.9,14.06,13.17,93.55,15.0,-0.21101,45,False,False,False,False,False,False,2
79.0,0.89,17.13,80.0,0.9,14.04,13.17,93.57,13.0,-0.21004,45,False,False,False,False,False,False,2
71.0,0.49,5.91,57.0,0.5,4.84,4.42,89.99,72.0,-0.05651,0,False,False,False,False,False,False,3
83.0,0.89,17.1,84.0,0.9,14.02,13.17,93.59,16.0,-0.21185,45,False,False,False,False,False,False,2
32.0,1.01,4.2,23.0,0.89,3.66,3.49,92.1,24.0,-0.02424,65,False,False,True,True,False,False,3
16.0,1.05,20.63,75.0,1.07,17.78,17.7,79.83,67.0,-0.26138,14,True,False,False,False,False,False,4
31.0,1.0,4.19,27.0,0.88,3.64,3.48,91.08,24.0,-0.02428,65,False,False,True,True,False,False,3
42.0,1.23,22.46,78.0,1.18,18.06,16.91,92.9,85.0,-0.29922,27,False,False,False,False,False,False,4
11.0,1.29,15.18,10.0,1.27,12.3,10.54,92.68,79.0,-0.19635,2,False,False,True,False,False,False,4
91.0,0.93,10.9,52.0,0.94,8.92,8.24,93.5,70.0,-0.10426,2,False,False,False,False,False,False,2
49.0,1.45,6.49,53.0,1.29,5.63,4.93,79.08,70.0,-0.04624,34,False,False,False,False,True,False,2
68.0,0.52,7.78,65.0,0.46,6.25,6.58,5.14,43.0,-0.10272,33,False,False,True,False,True,False,2
44.0,0.75,3.12,34.0,0.79,2.93,2.74,69.95,28.0,0.05718,41,False,False,False,False,False,False,3
35.0,1.69,7.47,27.0,1.48,6.43,5.39,81.3,35.0,-0.05744,34,True,False,False,False,True,False,3
38.0,1.26,22.62,73.0,1.22,18.28,17.63,95.93,42.0,-0.3064,27,False,False,True,False,False,False,4
45.0,1.26,22.63,80.0,1.22,18.29,17.65,95.93,53.0,-0.30793,27,False,False,True,False,False,False,4
90.0,0.86,16.6,59.0,0.88,14.35,13.17,83.62,65.0,-0.22032,14,False,False,True,False,False,False,1
17.0,1.43,5.94,20.0,1.01,13.51,13.17,93.26,26.0,-0.01918,66,False,False,False,True,False,False,4
91.0,0.93,10.88,52.0,0.94,8.91,8.23,93.59,70.0,-0.10421,2,False,False,False,False,False,False,2
37.0,1.26,22.63,72.0,1.22,18.29,17.64,95.91,39.0,-0.30626,27,False,False,True,False,False,False,4
62.0,1.25,24.94,61.0,1.26,21.04,19.43,86.52,8.0,-0.30366,55,False,False,False,True,False,False,3
91.0,0.87,16.7,61.0,0.88,14.42,13.17,83.39,66.0,-0.22177,14,False,False,True,False,False,False,1
72.0,0.96,11.19,25.0,0.97,9.18,8.58,94.0,37.0,-0.12667,2,False,False,False,False,False,False,2
11.0,1.29,15.2,10.0,1.27,12.31,10.55,92.51,77.0,-0.19674,2,False,False,True,False,False,False,4
18.0,1.17,22.97,22.0,1.16,18.6,16.3,89.47,35.0,-0.30155,45,False,False,True,False,False,False,4
17.0,1.46,29.5,34.0,1.42,23.49,19.58,84.41,26.0,-0.40025,55,False,False,True,True,False,False,5
63.0,1.25,24.93,61.0,1.26,21.05,19.43,86.52,8.0,-0.30382,55,False,False,False,True,False,False,4
6.0,0.63,5.14,20.0,0.64,4.23,4.15,17.42,74.0,-0.04998,37,False,False,True,True,False,False,4
9.0,0.63,5.15,28.0,0.64,4.23,4.15,17.12,81.0,-0.05209,37,False,False,True,True,False,False,3
34.0,0.94,3.35,49.0,0.96,3.16,3.01,94.87,72.0,0.03773,39,False,False,False,True,False,False,2
27.0,0.94,3.35,42.0,0.96,3.16,3.01,94.9,68.0,0.0384,39,False,False,False,True,False,False,3
31.0,1.02,19.42,35.0,1.01,16.04,14.69,85.78,25.0,-0.25768,29,True,False,False,True,False,False,2
7.0,0.64,5.15,20.0,0.64,4.22,4.14,17.58,72.0,-0.0508,37,False,False,True,True,False,False,4
6.0,0.63,5.13,12.0,0.64,4.23,4.15,17.3,74.0,-0.05011,37,False,False,True,True,False,False,4
8.0,0.62,5.13,27.0,0.63,4.21,4.14,16.9,75.0,-0.05082,37,False,False,True,True,False,False,4
5.0,0.63,5.16,10.0,0.64,4.22,4.15,17.05,71.0,-0.04993,37,False,False,True,True,False,False,4
