fund_return_category_rank_1year,fund_beta_3years,fund_stdev_3years,fund_return_category_rank_ytd,fund_beta_5years,fund_stdev_5years,fund_stdev_10years,fund_r_squared_3years,fund_return_category_rank_3months,fund_return_2020_q1,fund_category,investment_type,size_type,morningstar_risk_rating
62.0,1.25,24.94,61.0,1.26,21.04,19.43,86.52,8.0,-0.30366,Mid-Cap Value,Blend,Medium,3.0
91.0,0.87,16.7,61.0,0.88,14.42,13.17,83.39,66.0,-0.22177,Diversified Emerging Mkts,Value,Large,1.0
72.0,0.96,11.19,25.0,0.97,9.18,8.58,94.0,37.0,-0.12667,Allocation--50% to 70% Equity,Blend,Large,2.0
11.0,1.29,15.2,10.0,1.27,12.31,10.55,92.51,77.0,-0.19674,Allocation--50% to 70% Equity,Value,Large,4.0
18.0,1.17,22.97,22.0,1.16,18.6,16.3,89.47,35.0,-0.30155,Large Value,Value,Large,4.0
17.0,1.46,29.5,34.0,1.42,23.49,19.58,84.41,26.0,-0.40025,Mid-Cap Value,Value,Medium,5.0
63.0,1.25,24.93,61.0,1.26,21.05,19.43,86.52,8.0,-0.30382,Mid-Cap Value,Blend,Medium,4.0
6.0,0.63,5.14,20.0,0.64,4.23,4.15,17.42,74.0,-0.04998,Inflation-Protected Bond,Value,Medium,4.0
9.0,0.63,5.15,28.0,0.64,4.23,4.15,17.12,81.0,-0.05209,Inflation-Protected Bond,Value,Medium,3.0
34.0,0.94,3.35,49.0,0.96,3.16,3.01,94.87,72.0,0.03773,Intermediate Core Bond,Blend,Medium,2.0
27.0,0.94,3.35,42.0,0.96,3.16,3.01,94.9,68.0,0.0384,Intermediate Core Bond,Blend,Medium,3.0
31.0,1.02,19.42,35.0,1.01,16.04,14.69,85.78,25.0,-0.25768,Foreign Small/Mid Growth,Growth,Medium,2.0
7.0,0.64,5.15,20.0,0.64,4.22,4.14,17.58,72.0,-0.0508,Inflation-Protected Bond,Value,Medium,4.0
6.0,0.63,5.13,12.0,0.64,4.23,4.15,17.3,74.0,-0.05011,Inflation-Protected Bond,Value,Medium,4.0
8.0,0.62,5.13,27.0,0.63,4.21,4.14,16.9,75.0,-0.05082,Inflation-Protected Bond,Value,Medium,4.0
5.0,0.63,5.16,10.0,0.64,4.22,4.15,17.05,71.0,-0.04993,Inflation-Protected Bond,Value,Medium,4.0
5.0,0.63,5.12,9.0,0.64,4.2,4.13,17.53,70.0,-0.04932,Inflation-Protected Bond,Value,Medium,3.0
5.0,0.62,5.13,9.0,0.63,4.2,4.14,17.01,71.0,-0.04976,Inflation-Protected Bond,Value,Medium,4.0
28.0,0.85,10.1,22.0,0.83,7.98,6.63,90.7,7.0,-0.14547,Allocation--30% to 50% Equity,Blend,Large,3.0
41.0,0.84,10.07,32.0,0.82,7.96,6.62,90.79,9.0,-0.14694,Allocation--30% to 50% Equity,Blend,Large,3.0
70.0,0.88,16.99,19.0,0.88,14.13,13.95,91.08,5.0,-0.11424,Large Growth,Growth,Large,2.0
25.0,0.84,10.06,20.0,0.82,7.95,6.6,90.49,6.0,-0.14489,Allocation--30% to 50% Equity,Blend,Large,3.0
63.0,1.11,6.19,85.0,1.03,5.04,4.1,37.57,71.0,-0.05161,Intermediate Core-Plus Bond,Blend,Medium,5.0
38.0,1.12,6.19,55.0,1.03,5.03,4.07,38.21,48.0,-0.04915,Intermediate Core-Plus Bond,Blend,Medium,5.0
43.0,1.12,6.19,62.0,1.04,5.04,4.09,38.08,55.0,-0.05055,Intermediate Core-Plus Bond,Blend,Medium,5.0
51.0,1.12,6.2,71.0,1.04,5.05,4.1,38.11,63.0,-0.05034,Intermediate Core-Plus Bond,Blend,Medium,5.0
43.0,1.13,6.21,62.0,1.04,5.06,4.11,38.59,55.0,-0.04975,Intermediate Core-Plus Bond,Blend,Medium,5.0
38.0,1.12,6.2,55.0,1.04,5.05,4.08,38.27,48.0,-0.04912,Intermediate Core-Plus Bond,Blend,Medium,5.0
40.0,1.1,6.16,55.0,1.03,5.02,4.08,37.48,58.0,-0.04902,Intermediate Core-Plus Bond,Blend,Medium,5.0
73.0,0.77,9.32,62.0,0.77,7.78,7.29,88.22,16.0,-0.12245,World Allocation,Blend,Large,1.0
91.0,0.86,16.62,63.0,0.88,14.35,13.17,83.44,66.0,-0.22098,Diversified Emerging Mkts,Value,Large,1.0
91.0,0.84,11.21,50.0,0.82,9.87,11.49,72.5,21.0,-0.1438,Tactical Allocation,Blend,Large,4.0
64.0,0.77,9.32,56.0,0.77,7.78,7.28,88.11,15.0,-0.12098,World Allocation,Blend,Large,1.0
2.0,1.42,37.85,3.0,1.01,13.51,13.17,48.23,1.0,-0.1457,Long-Short Equity,Blend,Large,5.0
70.0,0.77,9.3,60.0,0.77,7.78,7.29,88.45,16.0,-0.12106,World Allocation,Blend,Large,1.0
1.0,1.42,37.98,3.0,1.01,13.51,13.17,48.18,1.0,-0.14604,Long-Short Equity,Blend,Large,5.0
83.0,-0.04,22.78,58.0,0.04,18.17,13.17,0.08,29.0,0.33136,Long-Short Equity,Blend,Large,5.0
92.0,0.84,11.24,52.0,0.82,9.9,11.51,72.55,22.0,-0.14462,Tactical Allocation,Blend,Large,4.0
82.0,-0.04,22.87,57.0,0.04,18.24,13.17,0.08,28.0,0.33333,Long-Short Equity,Blend,Large,5.0
87.0,0.84,11.22,44.0,0.82,9.88,11.5,72.86,16.0,-0.14042,Tactical Allocation,Blend,Large,4.0
64.0,0.78,9.33,56.0,0.77,7.78,7.29,88.42,15.0,-0.1211,World Allocation,Blend,Large,1.0
68.0,0.77,9.32,58.0,0.77,7.78,7.28,88.11,16.0,-0.12139,World Allocation,Blend,Large,1.0
55.0,1.43,29.4,80.0,1.39,24.05,20.57,81.41,84.0,-0.38502,Small Value,Value,Small,4.0
49.0,1.31,27.06,41.0,1.28,22.05,19.27,80.99,37.0,-0.36543,Small Value,Value,Small,3.0
51.0,1.31,27.07,43.0,1.28,22.05,19.27,80.95,39.0,-0.366,Small Value,Value,Small,3.0
53.0,1.31,27.04,45.0,1.28,22.02,19.24,80.93,40.0,-0.36642,Small Value,Value,Small,3.0
54.0,1.43,29.38,78.0,1.39,24.04,20.58,81.36,84.0,-0.38413,Small Value,Value,Small,4.0
48.0,1.32,27.08,40.0,1.28,22.06,19.28,81.01,37.0,-0.36516,Small Value,Value,Small,3.0
50.0,0.76,3.15,47.0,0.81,2.97,2.78,70.63,34.0,0.05623,Intermediate Government,Blend,Large,3.0
71.0,0.76,3.14,60.0,0.8,2.96,2.78,70.42,40.0,0.05431,Intermediate Government,Blend,Large,3.0
24.0,1.83,8.22,61.0,1.63,7.13,6.43,78.88,53.0,-0.06852,High Yield Muni,Blend,Small,4.0
14.0,1.85,8.28,41.0,1.64,7.17,6.44,79.0,34.0,-0.06593,High Yield Muni,Blend,Small,4.0
42.0,0.75,3.12,37.0,0.8,2.95,2.77,70.23,27.0,0.05739,Intermediate Government,Blend,Large,3.0
55.0,0.76,3.14,49.0,0.8,2.97,2.79,70.3,37.0,0.0556,Intermediate Government,Blend,Large,3.0
7.0,1.84,8.25,35.0,1.63,7.14,6.44,79.12,36.0,-0.06619,High Yield Muni,Blend,Small,4.0
8.0,1.84,8.26,35.0,1.64,7.14,6.44,79.3,36.0,-0.06607,High Yield Muni,Blend,Small,4.0
